stopPointRef,no_of_buses
NSR:Quay:104086,1331
NSR:Quay:49238,15222
NSR:Quay:73458,1460
NSR:Quay:90707,7589
NSR:Quay:77176,2059
NSR:Quay:16596,5131
NSR:Quay:22650,2096
NSR:Quay:24535,27763
NSR:Quay:34062,2322
NSR:Quay:43133,1824
NSR:Quay:37206,445
NSR:Quay:84549,13318
NSR:Quay:48061,984
NSR:Quay:65606,5993
NSR:Quay:53374,23246
NSR:Quay:10917,31397
NSR:Quay:8992,18171
NSR:Quay:42516,10684
NSR:Quay:6724,10750
NSR:Quay:17758,4652
NSR:Quay:330,22091
NSR:Quay:18495,4699
NSR:Quay:27234,1771
NSR:Quay:48822,22841
NSR:Quay:18037,7736
NSR:Quay:22067,566
NSR:Quay:42549,11176
NSR:Quay:30050,3586
NSR:Quay:51489,1678
14397657,759
NSR:Quay:23476,702
NSR:Quay:20505,2222
NSR:Quay:31001,1142
NSR:Quay:91558,1030
14011938,8713
NSR:Quay:69700,7711
NSR:Quay:97774,2786
NSR:Quay:54291,42275
NSR:Quay:40526,18956
NSR:Quay:68704,16229
NSR:Quay:70634,10028
NSR:Quay:38261,940
NSR:Quay:38421,1507
NSR:Quay:57837,4632
NSR:Quay:99210,618
NSR:Quay:32046,10311
NSR:Quay:30340,9987
NSR:Quay:18991,4850
NSR:Quay:103975,678
NSR:Quay:65650,13548
NSR:Quay:28665,26597
NSR:Quay:73292,6681
NSR:Quay:67398,1491
NSR:Quay:29689,7179
NSR:Quay:7206,14365
NSR:Quay:11335,33292
NSR:Quay:4437,10924
NSR:Quay:7536,2069
NSR:Quay:16366,2313
NSR:Quay:74846,3052
NSR:Quay:12337,3502
14163455,406
NSR:Quay:84795,3125
NSR:Quay:47639,866
NSR:Quay:70987,6299
NSR:Quay:29352,1579
NSR:Quay:108877,7912
NSR:Quay:28961,15044
NSR:Quay:28167,3035
NSR:Quay:6738,295
NSR:Quay:95265,2546
NSR:Quay:70183,3163
NSR:Quay:57520,2582
NSR:Quay:57652,6867
NSR:Quay:91032,1435
NSR:Quay:65447,1358
NSR:Quay:70085,1388
NSR:Quay:14642,410
NSR:Quay:72758,739
NSR:Quay:52472,1408
NSR:Quay:48887,11776
NSR:Quay:67475,1388
NSR:Quay:18374,2186
NSR:Quay:4602,8946
NSR:Quay:5363,2057
NSR:Quay:13774,1150
NSR:Quay:94330,4701
NSR:Quay:54669,13698
NSR:Quay:88443,455
NSR:Quay:25730,1052
NSR:Quay:7448,10625
NSR:Quay:4738,769
NSR:Quay:8173,297
NSR:Quay:58405,1983
NSR:Quay:5645,1212
NSR:Quay:34082,1023
NSR:Quay:55110,1782
NSR:Quay:66774,1807
NSR:Quay:57196,1608
NSR:Quay:91205,702
NSR:Quay:13340,2263
NSR:Quay:54357,2025
NSR:Quay:38364,1061
NSR:Quay:50406,1712
NSR:Quay:74843,3437
NSR:Quay:20680,1740
NSR:Quay:91960,2671
NSR:Quay:69119,3131
NSR:Quay:38528,5422
NSR:Quay:19483,2029
NSR:Quay:36242,2004
NSR:Quay:34499,245
NSR:Quay:26432,4776
NSR:Quay:43323,4472
NSR:Quay:57355,1206
NSR:Quay:94438,2560
NSR:Quay:94444,2560
NSR:Quay:57827,2685
NSR:Quay:32092,9522
NSR:Quay:49812,11732
14011855,8314
NSR:Quay:23970,366
NSR:Quay:89573,1322
NSR:Quay:94811,1000
NSR:Quay:31725,146
NSR:Quay:26715,2485
NSR:Quay:13327,2258
NSR:Quay:46828,1928
NSR:Quay:74584,4467
NSR:Quay:18133,6929
NSR:Quay:56451,579
NSR:Quay:103517,537
NSR:Quay:96915,1091
NSR:Quay:52008,1667
NSR:Quay:31960,1619
NSR:Quay:103668,7417
NSR:Quay:28690,1033
NSR:Quay:31717,246
NSR:Quay:43359,1988
NSR:Quay:26297,1790
14194982,1742
NSR:Quay:39602,990
NSR:Quay:21369,726
NSR:Quay:82152,621
NSR:Quay:77668,737
NSR:Quay:48695,15051
16542,1135
NSR:Quay:66707,371
NSR:Quay:95700,1222
NSR:Quay:27144,2322
NSR:Quay:13650,1831
NSR:Quay:22345,1988
NSR:Quay:74052,841
NSR:Quay:65281,2498
NSR:Quay:52424,1408
14322212,833
NSR:Quay:77444,1462
NSR:Quay:52354,2327
NSR:Quay:51124,2140
NSR:Quay:70433,14132
NSR:Quay:43189,529
NSR:Quay:95433,1570
NSR:Quay:74634,2566
NSR:Quay:74957,1456
NSR:Quay:42218,3710
NSR:Quay:103599,5019
NSR:Quay:33806,1412
NSR:Quay:86245,155
NSR:Quay:18090,14588
NSR:Quay:57375,1868
NSR:Quay:79131,859
NSR:Quay:43070,2089
NSR:Quay:15201,1305
NSR:Quay:40246,4621
NSR:Quay:72497,685
NSR:Quay:58408,1970
NSR:Quay:69583,1392
NSR:Quay:6074,3219
NSR:Quay:30295,4514
NSR:Quay:56264,2136
NSR:Quay:45665,3250
NSR:Quay:29248,2312
NSR:Quay:1247,196
NSR:Quay:95190,5358
NSR:Quay:16483,1546
NSR:Quay:2,859
NSR:Quay:27014,653
NSR:Quay:102169,365
NSR:Quay:107796,650
NSR:Quay:53163,882
NSR:Quay:55553,392
NSR:Quay:61605,340
NSR:Quay:87486,683
NSR:Quay:19739,1855
NSR:Quay:27037,992
NSR:Quay:22608,1809
NSR:Quay:87615,190
NSR:Quay:37410,853
NSR:Quay:21217,414
14497046,765
NSR:Quay:54274,2747
NSR:Quay:55725,6771
NSR:Quay:108381,789
NSR:Quay:29578,743
14497060,994
NSR:Quay:22949,3664
NSR:Quay:32258,712
NSR:Quay:45483,461
NSR:Quay:88194,652
NSR:Quay:13055,1284
NSR:Quay:88777,846
NSR:Quay:82757,804
NSR:Quay:22164,2448
NSR:Quay:84462,1094
NSR:Quay:13589,559
NSR:Quay:79000,614
NSR:Quay:70729,4894
NSR:Quay:107920,828
NSR:Quay:86612,1249
NSR:Quay:4364,1131
NSR:Quay:74773,697
NSR:Quay:70914,786
NSR:Quay:73002,1312
NSR:Quay:26941,733
NSR:Quay:25737,1052
NSR:Quay:56489,1855
NSR:Quay:57087,583
NSR:Quay:30022,2129
NSR:Quay:87585,619
NSR:Quay:84045,480
NSR:Quay:28775,7920
NSR:Quay:45235,2128
NSR:Quay:7538,1107
NSR:Quay:36838,1290
NSR:Quay:3654,388
NSR:Quay:80645,599
NSR:Quay:40436,2841
NSR:Quay:25891,304
NSR:Quay:29386,776
NSR:Quay:28842,1450
NSR:Quay:74102,1755
NSR:Quay:20296,174
14011834,1484
NSR:Quay:31739,314
NSR:Quay:2535,878
NSR:Quay:89939,748
NSR:Quay:50159,638
NSR:Quay:105120,3728
NSR:Quay:47581,186
NSR:Quay:83222,170
NSR:Quay:27459,720
NSR:Quay:91654,2707
NSR:Quay:56908,458
NSR:Quay:50401,1711
NSR:Quay:2628,3641
14012050,1434
NSR:Quay:103850,137
NSR:Quay:49681,987
NSR:Quay:95210,1132
NSR:Quay:97870,749
NSR:Quay:48820,916
NSR:Quay:5300,722
NSR:Quay:49986,1112
NSR:Quay:7018,682
NSR:Quay:23534,949
NSR:Quay:55426,1190
NSR:Quay:8489,297
NSR:Quay:23623,694
NSR:Quay:80824,2065
NSR:Quay:14197,1069
NSR:Quay:96681,1380
NSR:Quay:57164,3429
NSR:Quay:45852,1519
NSR:Quay:50006,1741
NSR:Quay:31537,1319
14302574,909
NSR:Quay:25214,1073
NSR:Quay:44574,921
NSR:Quay:44189,989
NSR:Quay:76116,346
NSR:Quay:78307,194
NSR:Quay:108014,704
NSR:Quay:69626,1162
NSR:Quay:72075,186
NSR:Quay:66125,2236
NSR:Quay:55306,1190
NSR:Quay:37321,888
NSR:Quay:52549,475
NSR:Quay:93180,234
NSR:Quay:66482,101
