id,parentTrafficLinkId,stopPointRef,stopOnTrafficLink,stopCertainty,stopsServeDifferentBuses,trikkestopp,comment,hasOnlyPublicTransportLanes,isRamp,length,maxLanes,minLanes,startTrafficNodeId,endTrafficNodeId,text
0.0-1.0@805018-WITH,0.0-1.0@805018,NSR:Quay:54807,TRUE,,,,Bergen,TRUE,TRUE,48.166,1,1,824787,824697,Road system reference: FV584 S1D1 m3045 KD6 m0-48
0.0-1.0@1695037-WITH,0.0-1.0@1695037,NSR:Quay:99710,TRUE,,,,"Bergen-ish, Klauvaneset",TRUE,TRUE,56.628,1,1,1695039,1695042,Road system reference: EV39 S74D1 m5352 KD6 m0-57
0.0-1.0@1695038-WITH,0.0-1.0@1695038,NSR:Quay:53700,TRUE,,,,"Bergen-ish, Klauvaneset",TRUE,TRUE,98.716,1,1,1695040,1695041,Road system reference: EV39 S74D1 m5352 KD5 m0-99
0.0-1.0@1721668-WITH,0.0-1.0@1721668,"NSR:Quay:12312
",TRUE,,,,"Fiskevollen, Oslo",TRUE,TRUE,283.882,1,1,1721665,1721667,Road system reference: EV18 S56D1 m7556 KD7 m0-289
0.0-1.0@1776711-WITH,0.0-1.0@1776711,NSR:Quay:43404,FALSE,Low,,,Kristiansand,TRUE,TRUE,35,1,1,1776712,1776713,Road system reference: EV18 S1D1 m5912 KD5 m0-35
0.0-1.0@1857382-WITH,0.0-1.0@1857382,"NSR:Quay:11148, NSR:Quay:11141, NSR:Quay:11142, NSR:Quay:11147, NSR:Quay:11146, NSR:Quay:11143, NSR:Quay:11144",TRUE,,TRUE,,Helsfyr T,TRUE,TRUE,232.66,1,1,R1857384,1857378,Road system reference: EV6 S16D20 m2423 KD11 m0-233
0.0-1.0@1886127-WITH,0.0-1.0@1886127,NSR:Quay:71246,TRUE,,,,Ranheim fabrikker,TRUE,TRUE,353.085,1,1,97030,1886131,Road system reference: EV6 S77D1 m283 KD2 m0-355
0.0-1.0@2095753-WITH,0.0-1.0@2095753,NSR:Quay:8496,TRUE,,,,"Gjelleråsen, Oslo",TRUE,TRUE,81.833,1,1,2095751,467456,Road system reference: RV4 S3D1 m23 KD1 m0-90
0.0-1.0@2189652-WITH,0.0-1.0@2189652,NSR:Quay:7897,FALSE,Low,,,Lysaker stasjon. Busser fra NSR:Quay:7895 (plattform A) ser ikke ut til å passere trafikklenke og utelates derfor.,TRUE,TRUE,25.149,1,1,2189656,458250,Road system reference: EV18 S54D1 m785 KD6 m0-25
0.0-1.0@2189662-WITH,0.0-1.0@2189662,"NSR:Quay:7897, NSR:Quay:7895",TRUE,,TRUE,,Lysaker stasjon.,TRUE,TRUE,222.066,1,1,458483,2189664,Road system reference: EV18 S54D1 m785 KD7 m0-223
0.0-1.0@2210835-WITH,0.0-1.0@2210835,NSR:Quay:75658,FALSE,Low,,,Gildheim. Tror det passerer busser her som ikke stopper.,TRUE,TRUE,152.222,1,1,R2210874,2210856,Road system reference: RV706 S2D1 m5306 KD5 m0-152
0.0-1.0@2210870-WITH,0.0-1.0@2210870,NSR:Quay:73038,TRUE,,,,"Strindheim, fra Lade",TRUE,TRUE,111.41,1,1,2210875,R2210874,"Road system reference: c(""FV6664 S1D1 m4175 KD3 m0-12"", ""FV6664 S1D1 m4177 KD3 m12-113"")"
0.0-1.0@2210876-WITH,0.0-1.0@2210876,NSR:Quay:75657,FALSE,Low,,,Gildheim. Tror det passerer busser her som ikke stopper.,TRUE,TRUE,153.465,1,1,2210879,R2210874,Road system reference: RV706 S2D1 m5306 KD6 m0-153
0.0-1.0@2210877-WITH,0.0-1.0@2210877,NSR:Quay:73036,TRUE,,,,"Strindheim, mot Lade",TRUE,TRUE,116.65,1,1,R2210874,2210875,"Road system reference: c(""FV6664 S1D1 m4177 KD2 m0-110"", ""FV6664 S1D1 m4175 KD2 m110-119"")"
0.0-1.0@2326007-WITH,0.0-1.0@2326007,NA,,,,,Sykehuset Østfold Kalnes,TRUE,FALSE,110.424,1,1,2325996,2325992,Road system reference: FV118 S6D10 m0-110
0.0-1.0@2407992-WITH,0.0-1.0@2407992,NSR:Quay:48354,FALSE,High,,,"Jåsund ring nord, inn",TRUE,TRUE,119.122,1,1,2408010,2408040,Road system reference: FV4556 S1D1 m2965 KD3 m0-119
0.0-1.0@2408049-WITH,0.0-1.0@2408049,NSR:Quay:48355,FALSE,High,,,"Jåsund ring nord, ut",TRUE,TRUE,287.121,1,1,2408040,2408023,Road system reference: FV4556 S1D1 m2965 KD2 m0-287
0.0-1.0@2409236-WITH,0.0-1.0@2409236,NSR:Quay:73049,TRUE,,,,Strindheim skole,TRUE,TRUE,306.385,1,1,R2210874,2409249,Road system reference: FV6664 S1D1 m4177 KD4 m0-306
0.0-1.0@2409243-WITH,0.0-1.0@2409243,NSR:Quay:73048,TRUE,,,,Strindheim skole,TRUE,TRUE,192.333,1,1,2409258,R2210874,"Road system reference: c(""FV6664 S1D1 m4175 KD1 m0-6"", ""FV6664 S1D1 m4177 KD1 m6-194"")"
0.0-1.0@2437283-WITH,0.0-1.0@2437283,NSR:Quay:75178,TRUE,,,,Kolstad,TRUE,TRUE,437.09,1,1,2437272,R2437268,Road system reference: FV6650 S2D1 m8851 KD3 m0-437
0.0-1.0@2544736-WITH,0.0-1.0@2544736,NSR:Quay:6442,FALSE,High,,,Fornebu,TRUE,TRUE,235.718,1,1,2544730,2544731,Road system reference: FV166 S1D1 m847 KD5 m0-240
0.0-1.0@2606052-WITH,0.0-1.0@2606052,NSR:Quay:10853,FALSE,Medium,,,Manglerud,TRUE,TRUE,17.651,1,1,2606033,2606046,Road system reference: EV6 S16D1 m2004 KD5 m0-18
0.0-1.0@2606053-WITH,0.0-1.0@2606053,NSR:Quay:10854,FALSE,Low,,,Manglerud,TRUE,TRUE,26.364,1,1,2606041,2606040,Road system reference: EV6 S16D1 m2004 KD6 m0-26
0.0-1.0@2611527-WITH,0.0-1.0@2611527,NSR:Quay:10563,FALSE,Low,,,Klemetsrud skole. Ser ut som noen av bussene går en annen vei.,TRUE,FALSE,98.461,1,1,2611544,2611545,Road system reference: KV155 S2D1 m0-99
0.0-1.0@2633361-WITH,0.0-1.0@2633361,NSR:Quay:11136,FALSE,Low,,,Nydalen stasjon,TRUE,TRUE,25.561,1,1,2633010,2633011,Road system reference: RV150 S1D1 m5850 KD5 m0-26
0.0-1.0@2726033-WITH,0.0-1.0@2726033,NSR:Quay:106035,TRUE,,,,Tasta,TRUE,TRUE,133.434,1,1,R2726009,2725960,Road system reference: EV39 S100D1 m422 KD6 m0-133
0.0-1.0@2748609-WITH,0.0-1.0@2748609,NSR:Quay:58339,FALSE,High,,,"Flatøy, Bergen",TRUE,TRUE,26.422,1,1,2748610,2748611,Road system reference: EV39 S74D1 m1695 KD5 m0-26
0.0-1.0@2800101-WITH,0.0-1.0@2800101,NSR:Quay:48183,TRUE,,,,Utfor Haugesund,TRUE,TRUE,100,1,1,2800087,2800088,Road system reference: EV39 S92D1 m1070 KD5 m0-100
0.0-1.0@3108724-WITH,0.0-1.0@3108724,NSR:Quay:38111,TRUE,,,,"Universitetet, Kristiansand",TRUE,FALSE,147,1,1,3108729,138612,Road system reference: FV471 S1D10 m0-147
0.0-1.0@3122476-AGAINST,0.0-1.0@3122476,NA,,,,,"Forus, ca. Fra rundkjøringa.",TRUE,FALSE,344.753,2,2,R320289,3122479,Road system reference: FV4534 S2D1 m0-345
0.0-1.0@3122476-WITH,0.0-1.0@3122476,NA,,,,,"Forus, ca. Mot rundkjøringa.",TRUE,FALSE,344.753,2,2,3122479,R320289,Road system reference: FV4534 S2D1 m0-345
0.0-1.0@3136025-WITH,0.0-1.0@3136025,"NSR:Quay:47383
",FALSE,High,,,"Madlaveien, Kannik",TRUE,TRUE,91.975,1,1,3137476,3136037,Road system reference: FV441 S1D1 m7009 KD5 m0-98
0.0-1.0@3254873-WITH,0.0-1.0@3254873,NSR:Quay:48760,FALSE,High,,,"Solasplitten, Forus nord",TRUE,TRUE,215.983,1,1,3254829,R3254872,Road system reference: EV39 S100D1 m14967 KD5 m0-216
0.0-1.0@3305985-WITH,0.0-1.0@3305985,NSR:Quay:9197,FALSE,Medium,,,Fetsund/Lillestrøm,TRUE,TRUE,48.313,1,1,3305984,3305983,Road system reference: RV22 S13D1 m3826 KD2 m0-48
0.0-1.0@3322895-WITH,0.0-1.0@3322895,NSR:Quay:10943,FALSE,High,,,"Veitvet, Oslo",TRUE,TRUE,30.318,1,1,3322893,3322894,Road system reference: RV4 S1D1 m4206 KD3 m0-30
0.0-1.0@3409953-WITH,0.0-1.0@3409953,NSR:Quay:107499,TRUE,,,,Kristiansand,TRUE,TRUE,80.373,1,1,3409932,3409931,Road system reference: EV39 S126D1 m7177 KD8 m0-80
0.0-1.0@3409958-WITH,0.0-1.0@3409958,NSR:Quay:107498,TRUE,,,,Kristiansand,TRUE,TRUE,134.701,1,1,3366073,R3366180,Road system reference: EV39 S126D1 m5745 KD7 m0-135
0.0-1.0@3426093-WITH,0.0-1.0@3426093,NSR:Quay:10121,FALSE,Medium,,,"Hvam, Lillestrøm",TRUE,TRUE,267.831,1,1,3426084,3074013,Road system reference: RV22 S16D1 m51 KD2 m0-276
0.0-1.0@3432934-WITH,0.0-1.0@3432934,NSR:Quay:41211,FALSE,Low,,,Kristiansand,TRUE,TRUE,63.861,1,1,3432932,3432933,Road system reference: EV18 S1D1 m2187 KD8 m0-64
0.0-1.0@3441693-WITH,0.0-1.0@3441693,NSR:Quay:54834,FALSE,Low,,,Bergen,TRUE,TRUE,93.744,1,1,3456706,3441652,Road system reference: FV584 S1D1 m3045 KD2 m0-98
0.0-1.0@3661676-WITH,0.0-1.0@3661676,NSR:Quay:11150,FALSE,High,,,"Grefsen, Oslo",TRUE,TRUE,20.474,1,1,3661674,3661673,Road system reference: RV150 S1D1 m5446 KD3 m0-20
0.0-1.0@3686906-AGAINST,0.0-1.0@3686906,NSR:Quay:10775,FALSE,Low,,,"Holtset, Oslo",TRUE,TRUE,32.396,1,1,3686898,3686897,Road system reference: RV163 S1D1 m5369 KD5 m0-32
0.0-1.0@3686907-WITH,0.0-1.0@3686907,NSR:Quay:10865,FALSE,High,,,"Alna, Oslo",TRUE,TRUE,27.205,1,1,3686904,3686903,Road system reference: RV163 S1D1 m2127 KD5 m0-27
0.0-1.0@3686909-WITH,0.0-1.0@3686909,NSR:Quay:10932,FALSE,High,,,"Veitvet, Oslo",TRUE,TRUE,36.101,1,1,3686902,3686901,Road system reference: RV163 S1D1 m4514 KD5 m0-36
0.0-1.0@3857964-WITH,0.0-1.0@3857964,NSR:Quay:41869,FALSE,Low,,,Kristiansand,TRUE,TRUE,79.311,1,1,3857886,140638,Road system reference: EV18 S4D1 m208 KD5 m0-79
0.0@2020341-0.80616119@2408005-AGAINST,0.0@2020341-0.80616119@2408005,"NSR:Quay:46450, NSR:Quay:45599",TRUE,,FALSE,,Jåsund ring,TRUE,FALSE,2299.324,2,2,2439536,2020352,Road system reference: FV4556 S1D1 m393-2692
0.0@2020341-0.80616119@2408005-WITH,0.0@2020341-0.80616119@2408005,"NSR:Quay:45600, NSR:Quay:46449",TRUE,,FALSE,,Jåsund ring,TRUE,FALSE,2299.324,2,2,2020352,2439536,Road system reference: FV4556 S1D1 m393-2692
0.0@2510769-0.90760567@72370-AGAINST,0.0@2510769-0.90760567@72370,NSR:Quay:74264,TRUE,,,,"Kongens gate, Trondheim",TRUE,FALSE,104.726,3,2,2561689,1869850,"Road system reference: c(""FV6650 S1D1 m93-104"", ""FV6650 S1D1 m0-93"")"
0.0@2510769-0.90760567@72370-WITH,0.0@2510769-0.90760567@72370,NSR:Quay:74265,TRUE,,,,"Kongens gate, Trondheim",TRUE,FALSE,104.746,3,2,1869850,2561689,"Road system reference: c(""FV6650 S1D1 m0-93"", ""FV6650 S1D1 m93-104"")"
0.0@2730851-1.0@2475725-WITH,0.0@2730851-1.0@2475725,NSR:Quay:4044,FALSE,Low,,,Fredrikstad,TRUE,TRUE,116.702,1,1,2730848,2475722,Road system reference: RV22 S2D1 m21 KD3 m0-120
0.01482175-0.63070959@805003-AGAINST,0.01482175-0.63070959@805003,NSR:Quay:53228,FALSE,Low,,,"Sydnestunellen, Bergen",TRUE,FALSE,306.932,2,1,823073,823732,Road system reference: FV588 S1D1 m7-315
0.01482175-0.63070959@805003-WITH,0.01482175-0.63070959@805003,NSR:Quay:53230,FALSE,Low,,,"Sydnestunellen, Bergen",TRUE,FALSE,311.018,2,1,823732,823073,Road system reference: FV588 S1D1 m7-315
0.2816222-0.36579134@605101-AGAINST,0.2816222-0.36579134@605101,NA,,,,,Prinsens gate i Oslo. Vet ikke om det kjører busser her.,TRUE,FALSE,61.013,2,2,633726,633785,Road system reference: KV15742 S2D1 m118-180
0.2816222-0.36579134@605101-WITH,0.2816222-0.36579134@605101,NA,,,,,Prinsens gate i Oslo. Vet ikke om det kjører busser her.,TRUE,FALSE,61.013,2,2,633785,633726,Road system reference: KV15742 S2D1 m118-180
